experiment_id,timestamp,seed,path_length,num_searchers,time_budget,sample_ratio,heterogeneous_terrain,key_position,success,key_found_by,total_time_used,sampling_time,execution_time,time_remaining,cells_searched,coverage_rate,time_efficiency,search_efficiency,selected_strategy,selection_confidence
mas_full_study_0001,2026-01-28T10:10:39.479590,1000,50,3,30.0,0.0,True,24,True,0,11.818790409658193,0.0,30.0,18.18120959034181,25,0.5,0.6060403196780603,0.8333333333333334,greedy_nearest,1.0
mas_full_study_0002,2026-01-28T10:10:39.481591,1001,50,3,30.0,0.0,True,4,False,,30.55766683093833,0.0,30.0,0.0,44,0.88,0.0,1.4666666666666666,greedy_nearest,1.0
mas_full_study_0003,2026-01-28T10:10:39.482591,1002,50,3,30.0,0.0,True,45,True,0,26.24412577256144,0.0,30.0,3.755874227438561,46,0.92,0.12519580758128537,1.5333333333333334,greedy_nearest,1.0
mas_full_study_0004,2026-01-28T10:10:39.482591,1003,50,3,30.0,0.0,True,9,True,0,18.182316773256144,0.0,30.0,11.817683226743856,19,0.38,0.3939227742247952,0.6333333333333333,greedy_nearest,1.0
mas_full_study_0005,2026-01-28T10:10:39.483594,1004,50,3,30.0,0.0,True,35,True,1,29.899728636908936,0.0,30.0,0.1002713630910641,38,0.76,0.0033423787697021367,1.2666666666666666,greedy_nearest,1.0
mas_full_study_0006,2026-01-28T10:10:39.485157,1005,50,3,30.0,0.0,True,7,True,0,16.863874072214877,0.0,30.0,13.136125927785123,16,0.32,0.4378708642595041,0.5333333333333333,greedy_nearest,1.0
mas_full_study_0007,2026-01-28T10:10:39.485157,1006,50,3,30.0,0.0,True,34,True,2,6.863442164925755,0.0,30.0,23.136557835074246,6,0.12,0.7712185945024749,0.2,greedy_nearest,1.0
mas_full_study_0008,2026-01-28T10:10:39.486196,1007,50,3,30.0,0.0,True,14,True,2,16.229498061806236,0.0,30.0,13.770501938193764,27,0.54,0.4590167312731255,0.9,greedy_nearest,1.0
mas_full_study_0009,2026-01-28T10:10:39.486887,1008,50,3,30.0,0.0,True,28,False,,30.04631920575555,0.0,30.0,0.0,49,0.98,0.0,1.6333333333333333,greedy_nearest,1.0
mas_full_study_0010,2026-01-28T10:10:39.487924,1009,50,3,30.0,0.0,True,11,True,0,17.28169737557575,0.0,30.0,12.71830262442425,22,0.44,0.42394342081414166,0.7333333333333333,greedy_nearest,1.0
mas_full_study_0011,2026-01-28T10:10:39.488922,1010,50,3,30.0,0.0,True,25,True,0,22.80351201096256,0.0,30.0,7.19648798903744,28,0.56,0.23988293296791466,0.9333333333333333,greedy_nearest,1.0
